角色票力排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
075: [ 2015-12-09 | 20 | 07552 ] 诺艾尔 - 天体的秩序
076: [ 2015-12-10 | 20 | 07532 ] 纲手 - 火影忍者 疾风传
077: [ 2015-12-07 | 19 | 07504 ] 芙蕾米·斯皮德龙 - 六花的勇者
078: [ 2015-12-08 | 19 | 07485 ] 樱桃子(小丸子) - 樱桃小丸子 第二季
079: [ 2015-12-08 | 20 | 07322 ] 源静香 - 哆啦A梦
080: [ 2015-12-07 | 20 | 07320 ] 登势婆婆 - 银魂°
081: [ 2015-12-07 | 21 | 07312 ] 折原舞流 - 无头骑士异闻录×2 承
082: [ 2015-12-10 | 21 | 07270 ] 种岛白杨 - 迷糊餐厅 第三季
083: [ 2015-12-10 | 22 | 07246 ] 玛丽·马克贝斯 - 血界战线
084: [ 2015-12-08 | 21 | 06916 ] 堀江由衣 - 那就是声优
085: [ 2015-12-07 | 22 | 06832 ] 土方十四郎(♀) - 银魂°
086: [ 2015-12-09 | 21 | 06635 ] 米歇拉·沃奇 - 血界战线
087: [ 2015-12-07 | 23 | 06591 ] 姬木千冬 - 日常系的异能战斗
088: [ 2015-12-10 | 23 | 06580 ] 律 - 暗杀教室
089: [ 2015-12-07 | 24 | 06544 ] 尤娜 - 晨曦公主
090: [ 2015-12-09 | 22 | 06218 ] 海老名姬菜 - 我的青春恋爱物语果然有问题 第二季
091: [ 2015-12-07 | 25 | 06206 ] 圣边琉璃 - 无头骑士异闻录×2 承
092: [ 2015-12-09 | 23 | 06142 ] 田村由加莉 - 那就是声优
093: [ 2015-12-07 | 26 | 05638 ] 伊波樱 - 境界的彼方 剧场版
094: [ 2015-12-08 | 22 | 05510 ] 小鸟游美羽 - 要听爸爸的话OAD
095: [ 2015-12-09 | 24 | 05361 ] 塔城小猫 - 高校龙中龙D×D BorN
096: [ 2015-12-07 | 27 | 05354 ] 雷欧奈 - 斩·赤红之瞳
097: [ 2015-12-09 | 25 | 05310 ] 坂木静香 - 白箱
098: [ 2015-12-08 | 23 | 05272 ] 神崎灯代 - 日常系的异能战斗
099: [ 2015-12-10 | 24 | 05198 ] 娜贝拉尔·伽玛 - OVERLORD
100: [ 2015-12-09 | 26 | 05113 ] 高町薇薇欧 - 魔法少女奈叶ViVid
101: [ 2015-12-08 | 24 | 04907 ] 矢野艾莉卡 - 白箱
102: [ 2015-12-08 | 25 | 04758 ] 杉浦绫乃 - 摇曳百合OVA
103: [ 2015-12-08 | 26 | 04742 ] 寺门通 - 银魂°
104: [ 2015-12-10 | 25 | 04710 ] 今井绿 - 白箱
105: [ 2015-12-10 | 26 | 04565 ] 提露密努斯·艾斯特 - 精灵使的剑舞OVA
106: [ 2015-12-08 | 27 | 04527 ] 高鸭稳乃 - 天才麻将少女 阿知贺篇SP
107: [ 2015-12-09 | 27 | 04219 ] 周防天音 - 灰色的果实
108: [ 2015-12-10 | 27 | 03623 ] 村野里美 - 寄生兽 生命的准则
