角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
071: [ 2015-12-09 | 18 | 07240 ] 日向翔阳 - 排球少年剧场版
072: [ 2015-12-08 | 20 | 07200 ] 简·皮耶尔·波鲁纳雷夫 - JOJO的奇妙冒险 星尘斗士 埃及篇
073: [ 2015-12-07 | 18 | 06975 ] 佐井 - 火影忍者 疾风传
074: [ 2015-12-07 | 19 | 06872 ] 诸葛岳人 - 监狱学园
075: [ 2015-12-10 | 18 | 06764 ] 渡亮太 - 四月是你的谎言
076: [ 2015-12-09 | 19 | 06760 ] 越谷卓 - 悠哉日常大王 第二季
077: [ 2015-12-08 | 21 | 06754 ] 布兰德 - 斩·赤红之瞳
078: [ 2015-12-10 | 19 | 06666 ] 相马博臣 - 迷糊餐厅 第三季
079: [ 2015-12-10 | 20 | 06502 ] 扎普·伦弗洛 - 血界战线
080: [ 2015-12-07 | 20 | 06400 ] 特兰克斯 - 龙珠改 魔人布欧篇
081: [ 2015-12-09 | 20 | 06284 ] 理事长 - 监狱学园
082: [ 2015-12-10 | 21 | 06250 ] 威廉·马克贝斯 - 血界战线
083: [ 2015-12-10 | 22 | 06099 ] 狗神 - 银仙
084: [ 2015-12-07 | 21 | 05958 ] 风见雄二 - 灰色的果实
085: [ 2015-12-07 | 22 | 05948 ] 影男 - 乱步奇谭 Game of Laplace
086: [ 2015-12-10 | 23 | 05901 ] 刚田武(胖虎) - 哆啦A梦
087: [ 2015-12-08 | 22 | 05866 ] 若狭 - 我家浴缸的二三事
088: [ 2015-12-09 | 21 | 05844 ] 拉伯克 - 斩·赤红之瞳
089: [ 2015-12-07 | 23 | 05633 ] 黑羽盗一 - 魔术快斗1412
090: [ 2015-12-10 | 24 | 05605 ] 白马探 - 魔术快斗1412
091: [ 2015-12-08 | 23 | 05367 ] 伊武崎峻 - 食戟之灵
092: [ 2015-12-08 | 24 | 05255 ] 日向阿基德 - CodeGeass亡国的阿基德
093: [ 2015-12-10 | 25 | 05198 ] 魔人布欧 - 龙珠改 魔人布欧篇
094: [ 2015-12-09 | 22 | 05104 ] 山田龙 - 山田君与七个魔女
095: [ 2015-12-10 | 26 | 04759 ] 冰室辰也 - 黑子的篮球 第三季
096: [ 2015-12-08 | 25 | 04750 ] 桃城武 - 新网球王子OVA vs Genius10
097: [ 2015-12-09 | 23 | 04706 ] 白羊座穆 - 圣斗士星矢 黄金魂
098: [ 2015-12-09 | 24 | 04511 ] 堂岛银 - 食戟之灵
099: [ 2015-12-09 | 25 | 04463 ] 野比伸助(大雄的爸爸) - 哆啦A梦
100: [ 2015-12-07 | 24 | 04040 ] 大石秀一郎 - 新网球王子OVA vs Genius10
101: [ 2015-12-08 | 26 | 03886 ] 来留主公人 - 魔物娘相伴的日常
102: [ 2015-12-09 | 26 | 03762 ] 药师兜 - 火影忍者 疾风传
103: [ 2015-12-08 | 27 | 03735 ] 犬冢牙 - 火影忍者 疾风传
104: [ 2015-12-07 | 25 | 03623 ] 早乙女与一 - 终结的炽天使
105: [ 2015-12-10 | 27 | 03394 ] 钢铁侠 - 天雷争霸 复仇者联盟
106: [ 2015-12-07 | 26 | 03368 ] 世修 - 哆啦A梦
107: [ 2015-12-09 | 27 | 02507 ] 秋道丁次 - 火影忍者 疾风传
108: [ 2015-12-07 | 27 | 01971 ] 杉野友人 - 暗杀教室
