每日晋级数据 TOP100
2015-12-10 晋级数据 TOP100 女子组 (总票数: 275456)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 23 | 06142 |  2.2% ] 田村由加莉 - 那就是声优
[ 24 | 05361 |  1.9% ] 塔城小猫 - 高校龙中龙D×D BorN
[ 25 | 05310 |  1.9% ] 坂木静香 - 白箱
[ 26 | 05113 |  1.8% ] 高町薇薇欧 - 魔法少女奈叶ViVid
[ 27 | 04219 |  1.5% ] 周防天音 - 灰色的果实

2015-12-09 晋级数据 TOP100 男子组 (总票数: 266969)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 20449 |  7.7% ] 八田美咲 - K MISSING KINGS
[ 02 | 20397 |  7.6% ] 波风水门 - 火影忍者 疾风传
[ 03 | 16782 |  6.3% ] 狡啮慎也 - 心理测量者剧场版
[ 04 | 16095 |  6.0% ] 亚瑟·柯克兰(英/国) - 黑塔利亚 第六季
[ 05 | 16035 |  6.0% ] 黄濑凉太 - 黑子的篮球 第三季
[ 06 | 14090 |  5.3% ] 塔兹米 - 斩·赤红之瞳
[ 07 | 13152 |  4.9% ] 贝尔·克朗尼 - 在地下城寻求邂逅是否搞错了什么
[ 08 | 12261 |  4.6% ] 赤井秀一 - 名侦探柯南
[ 09 | 12040 |  4.5% ] 若松博隆 - 月刊少女野崎君OVA
[ 10 | 11148 |  4.2% ] 葬仪屋 - 黑执事 Book of Murder
[ 11 | 10240 |  3.8% ] 李洛克 - 火影忍者 疾风传
[ 12 | 09896 |  3.7% ] 雾岛绚都 - 东京食尸鬼 第二季
[ 13 | 09827 |  3.7% ] 月山习 - 东京食尸鬼 第二季
[ 14 | 09610 |  3.6% ] 乔瑟夫·乔斯达 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 15 | 08189 |  3.1% ] 阳太 - 关于完全听不懂老公在说什么的事
[ 16 | 07819 |  2.9% ] 阿笠博士 - 名侦探柯南
[ 17 | 07758 |  2.9% ] 兵藤一诚 - 高校龙中龙D×D BorN
[ 18 | 07240 |  2.7% ] 日向翔阳 - 排球少年剧场版
[ 19 | 06760 |  2.5% ] 越谷卓 - 悠哉日常大王 第二季
[ 20 | 06284 |  2.4% ] 理事长 - 监狱学园
[ 21 | 05844 |  2.2% ] 拉伯克 - 斩·赤红之瞳
[ 22 | 05104 |  1.9% ] 山田龙 - 山田君与七个魔女
[ 23 | 04706 |  1.8% ] 白羊座穆 - 圣斗士星矢 黄金魂
[ 24 | 04511 |  1.7% ] 堂岛银 - 食戟之灵
[ 25 | 04463 |  1.7% ] 野比伸助(大雄的爸爸) - 哆啦A梦
[ 26 | 03762 |  1.4% ] 药师兜 - 火影忍者 疾风传
[ 27 | 02507 |  0.9% ] 秋道丁次 - 火影忍者 疾风传

2015-12-08 晋级数据 TOP100 女子组 (总票数: 266167)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 18435 |  6.9% ] 本场切绘 - 干物妹小埋
[ 02 | 16062 |  6.0% ] 北白川玉子 - 玉子市场 剧场版
[ 03 | 15759 |  5.9% ] 一色彩羽 - 我的青春恋爱物语果然有问题 第二季
[ 04 | 15234 |  5.7% ] 七条天空 - 妄想学生会OVA
[ 05 | 14831 |  5.6% ] 妮可·罗宾 - 海贼王
[ 06 | 14056 |  5.3% ] 岩泽雅美 - Angel Beats OVA
[ 07 | 12094 |  4.5% ] 柊筱娅 - 终结的炽天使
[ 08 | 11891 |  4.5% ] 志村妙 - 银魂°
[ 09 | 11800 |  4.4% ] 市松小雏 - 银仙
[ 10 | 10796 |  4.1% ] 丈枪由纪 - 学园孤岛
[ 11 | 10682 |  4.0% ] 九条可怜 - 黄金拼图 第二季
[ 12 | 10508 |  3.9% ] 大凤 - 舰队collection
[ 13 | 10440 |  3.9% ] 菲特·泰斯特罗莎·哈拉温 - 魔法少女奈叶ViVid
[ 14 | 09158 |  3.4% ] 米拉杰·斯特劳斯 - 妖精的尾巴 第二季
[ 15 | 09042 |  3.4% ] 如月 - 舰队collection
[ 16 | 08465 |  3.2% ] 越谷小鞠 - 悠哉日常大王 第二季
[ 17 | 07794 |  2.9% ] 中森青子 - 魔术快斗1412
[ 18 | 07681 |  2.9% ] 那珂 - 舰队collection
[ 19 | 07485 |  2.8% ] 樱桃子(小丸子) - 樱桃小丸子 第二季
[ 20 | 07322 |  2.8% ] 源静香 - 哆啦A梦
[ 21 | 06916 |  2.6% ] 堀江由衣 - 那就是声优
[ 22 | 05510 |  2.1% ] 小鸟游美羽 - 要听爸爸的话OAD
[ 23 | 05272 |  2.0% ] 神崎灯代 - 日常系的异能战斗
[ 24 | 04907 |  1.8% ] 矢野艾莉卡 - 白箱
[ 25 | 04758 |  1.8% ] 杉浦绫乃 - 摇曳百合OVA
[ 26 | 04742 |  1.8% ] 寺门通 - 银魂°
[ 27 | 04527 |  1.7% ] 高鸭稳乃 - 天才麻将少女 阿知贺篇SP

2015-12-08 晋级数据 TOP100 男子组 (总票数: 251273)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 20552 |  8.2% ] 阿虚 - 小长门有希的消失
[ 02 | 16553 |  6.6% ] 十束多多良 - K MISSING KINGS
[ 03 | 14297 |  5.7% ] 费里西安诺·瓦尔加斯(意/大/利) - 黑塔利亚 第六季
[ 04 | 14189 |  5.6% ] 宇智波斑 - 火影忍者 疾风传
[ 05 | 12685 |  5.0% ] 大路饼藏 - 玉子市场 剧场版
[ 06 | 11351 |  4.5% ] 八坂真寻 - 潜行吧奈亚子F
[ 07 | 11201 |  4.5% ] 城惠 - 记录的地平线 第二季
[ 08 | 10555 |  4.2% ] 乌索普 - 海贼王
[ 09 | 10370 |  4.1% ] 哈斯太 - 潜行吧奈亚子F
[ 10 | 10340 |  4.1% ] 白泽 - 鬼灯的冷彻OAD
[ 11 | 10338 |  4.1% ] 十一 - 关于完全听不懂老公在说什么的事
[ 12 | 10082 |  4.0% ] 班 - 七大罪
[ 13 | 08407 |  3.3% ] 弗兰奇 - 海贼王
[ 14 | 08332 |  3.3% ] 目暮十三 - 名侦探柯南
[ 15 | 08176 |  3.3% ] 柳洞一成 - Fate/stay night [UBW]
[ 16 | 07936 |  3.2% ] 山崎退 - 银魂°
[ 17 | 07855 |  3.1% ] 一濑红莲 - 终结的炽天使
[ 18 | 07697 |  3.1% ] 藤野清志 - 监狱学园
[ 19 | 07544 |  3.0% ] 龟仙人 - 龙珠·超
[ 20 | 07200 |  2.9% ] 简·皮耶尔·波鲁纳雷夫 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 21 | 06754 |  2.7% ] 布兰德 - 斩·赤红之瞳
[ 22 | 05866 |  2.3% ] 若狭 - 我家浴缸的二三事
[ 23 | 05367 |  2.1% ] 伊武崎峻 - 食戟之灵
