角色票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
072: [ 2015-11-30 | 01 | 18393 ] 音无结弦 - Angel Beats OVA
073: [ 2015-11-25 | 05 | 18360 ] 伏见猿比古 - K MISSING KINGS
074: [ 2015-11-14 | 01 | 18098 ] 小次郎 - 宠物小精灵XY
075: [ 2015-11-02 | 04 | 17830 ] 夜刀神狗朗 - K MISSING KINGS
076: [ 2015-11-24 | 02 | 17685 ] 葛木宗一郎 - Fate/stay night [UBW]
077: [ 2015-12-03 | 02 | 17565 ] 神原秋人 - 境界的彼方 剧场版
078: [ 2015-11-15 | 04 | 17515 ] 哈斯太 - 潜行吧奈亚子F
079: [ 2015-11-09 | 01 | 17444 ] 大蛇丸 - 火影忍者 疾风传
080: [ 2015-11-27 | 03 | 17371 ] 特拉法尔加·D·瓦铁尔·罗 - 海贼王
081: [ 2015-11-26 | 03 | 17339 ] 手冢国光 - 新网球王子OVA vs Genius10
082: [ 2015-12-05 | 04 | 16969 ] 铃屋什造 - 东京食尸鬼 第二季
083: [ 2015-11-02 | 05 | 16959 ] 波风水门 - 火影忍者 疾风传
084: [ 2015-11-25 | 06 | 16952 ] 八田美咲 - K MISSING KINGS
085: [ 2015-11-21 | 04 | 16682 ] 堀政行 - 月刊少女野崎君OVA
086: [ 2015-11-30 | 02 | 16506 ] 枢木朱雀 - CodeGeass亡国的阿基德
087: [ 2015-11-18 | 03 | 16153 ] 梅利奥达斯 - 七大罪
088: [ 2015-11-07 | 03 | 16082 ] 克林 - 龙珠改 魔人布欧篇
089: [ 2015-11-24 | 03 | 15935 ] 一色慧 - 食戟之灵
090: [ 2015-11-03 | 01 | 15879 ] 斯雷因·特洛耶特 - ALDNOAH ZERO 第二季
091: [ 2015-11-13 | 03 | 15838 ] 贝吉塔 - 龙珠改 魔人布欧篇
092: [ 2015-11-23 | 02 | 15770 ] 迈特凯 - 火影忍者 疾风传
093: [ 2015-11-03 | 02 | 15744 ] 猿飞日斩 - 火影忍者 疾风传
