每日晋级数据 TOP100
2015-12-05 晋级数据 TOP100 女子组 (总票数: 189073)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 27 | 00724 |  0.4% ] 莉奥·维斯利 - 魔法少女奈叶ViVid
[ 28 | 00693 |  0.4% ] 茂木夏树 - 头文字D 新剧场版
[ 29 | 00686 |  0.4% ] 美环花子 - 樱桃小丸子 第二季
[ 30 | 00657 |  0.3% ] 塙薰 - 玉响剧场版
[ 31 | 00652 |  0.3% ] 菱川六花(Cure Diamond) - 光之美少女全明星 春季嘉年华
[ 32 | 00583 |  0.3% ] 三岛优拉拉 - 临时女友
[ 33 | 00509 |  0.3% ] 月野 - SHOW BY ROCK!!
[ 34 | 00485 |  0.3% ] 伊娃·弗罗斯特 - 火星异种
[ 35 | 00470 |  0.2% ] 重藤秋穗 - 临时女友
[ 36 | 00454 |  0.2% ] 雪莲 - ChaosDragon赤龙战役
[ 37 | 00410 |  0.2% ] 忍者林瑠璃 - 如果折断她的旗OAD
[ 38 | 00304 |  0.2% ] 原惠理子 - Venus Project Climax
[ 39 | 00301 |  0.2% ] 神谷真夏 - 天真无邪的乐园OAD
[ 40 | 00271 |  0.1% ] 七子 - 放学后的昴星团
[ 41 | 00263 |  0.1% ] 月白阳子 - 临时女友
[ 42 | 00255 |  0.1% ] 上原佳菜 - 灵感
[ 43 | 00236 |  0.1% ] 藤原春 - 旋转少女
[ 44 | 00232 |  0.1% ] 由衣 - 黑白小姐 第二季
[ 45 | 00232 |  0.1% ] 真境名素利子 - 健全机斗士OVA
[ 46 | 00181 |  0.1% ] 杰奎琳 - SHOW BY ROCK!!
[ 47 | 00140 |  0.1% ] 有栖川凛 - 摸索吧！部活剧 第三季
[ 48 | 00134 |  0.1% ] 东堂诗音 - 美妙天堂
[ 49 | 00115 |  0.1% ] 大地乃野 - 偶像活动 第三季
[ 50 | 00115 |  0.1% ] 河田梨香 - 夫妻成长日记 新OVA
[ 51 | 00099 |  0.1% ] 圆城寺结衣 - 摸索吧！部活剧 第三季
[ 52 | 00047 |  0.0% ] 神无月葵 - 快盗天使双胞胎OVA

2015-12-05 晋级数据 TOP100 男子组 (总票数: 179012)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 38091 | 21.3% ] 金木研 - 东京食尸鬼 第二季
[ 02 | 23969 | 13.4% ] 服部平次 - 名侦探柯南
[ 03 | 21127 | 11.8% ] 夏尔·凡多姆海威 - 黑执事 Book of Murder
[ 04 | 16969 |  9.5% ] 铃屋什造 - 东京食尸鬼 第二季
[ 05 | 11979 |  6.7% ] 橘真琴 - Free! TV未放送
[ 06 | 08595 |  4.8% ] 一濑红莲 - 终结的炽天使
[ 07 | 07968 |  4.5% ] 风早神人 - 精灵使的剑舞OVA
[ 08 | 07774 |  4.3% ] 永近英良 - 东京食尸鬼 第二季
[ 09 | 07221 |  4.0% ] 风间彻 - 蜡笔小新2014剧场版
[ 10 | 06411 |  3.6% ] 弗利萨 - 龙珠Z 复活的F
[ 11 | 06002 |  3.4% ] 紫原敦 - 黑子的篮球 第三季
[ 12 | 04842 |  2.7% ] 小岛元太 - 名侦探柯南
[ 13 | 02709 |  1.5% ] 四木春也 - 无头骑士异闻录×2 承
[ 14 | 01923 |  1.1% ] 道格 - 黑街
[ 15 | 01823 |  1.0% ] 苏芳 - 晨曦公主
[ 16 | 01724 |  1.0% ] 朝日奈琉生 - 兄弟战争OVA
[ 17 | 01414 |  0.8% ] 前田敦博 - TARI TARI OVA
[ 18 | 01049 |  0.6% ] 莱恩·路易士 - 牙狼 炎之刻印
[ 19 | 00953 |  0.5% ] 皇帝 - 斩·赤红之瞳
[ 20 | 00886 |  0.5% ] 织田隼人 - 俺物语
[ 21 | 00641 |  0.4% ] 安德烈亚斯·里瑟 - 圣斗士星矢 黄金魂
[ 22 | 00569 |  0.3% ] 爱岛塞西尔 - 歌之王子殿下 第三季
[ 23 | 00542 |  0.3% ] 牛岛若利 - 排球少年剧场版
[ 24 | 00498 |  0.3% ] 海 - SHOW BY ROCK!!
[ 25 | 00448 |  0.3% ] 须贺君雄 - 望实与君雄OVA
[ 26 | 00391 |  0.2% ] 马克斯·桑德谢尔特 - 无头骑士异闻录×2 承
[ 27 | 00345 |  0.2% ] SILVER HEART - 怪盗JOKER
[ 28 | 00214 |  0.1% ] 木手永四郎 - 新网球王子OVA vs Genius10
[ 29 | 00205 |  0.1% ] 大泽木小铁 - 浦安铁筋家族 第二季
[ 30 | 00176 |  0.1% ] 矶野波平 - 海螺小姐
[ 31 | 00170 |  0.1% ] 纳雷因·怀兹曼·博斯 - 苍穹之法芙娜EXODUS
[ 32 | 00155 |  0.1% ] 剑崎总 - 创圣的大天使Logos
[ 33 | 00153 |  0.1% ] 北原小次郎 - 教室危机
[ 34 | 00137 |  0.1% ] 肯·麦克德加尔 - 暴力宇宙海贼 亚空的深渊
[ 35 | 00135 |  0.1% ] 泰隆 - 魔神之骨
[ 36 | 00132 |  0.1% ] 铁拳 - 天雷争霸 复仇者联盟
[ 37 | 00121 |  0.1% ] 朱天 - 斩·赤红之瞳
[ 38 | 00115 |  0.1% ] 前园健太 - 钻石王牌
[ 39 | 00101 |  0.1% ] 小智 - Venus Project Climax
[ 40 | 00076 |  0.0% ] 今田千治 - 妖怪手表
[ 41 | 00060 |  0.0% ] 天野流 - 英雄银行
[ 42 | 00060 |  0.0% ] 白银谦信 - 战斗之魂 烈火魂
[ 43 | 00051 |  0.0% ] 新渡户稻造 - 法兰雀丝卡
[ 44 | 00047 |  0.0% ] 岛田 - 团地友夫
[ 45 | 00041 |  0.0% ] 克里斯·提拉 - 天雷争霸 复仇者联盟

2015-12-04 晋级数据 TOP100 女子组 (总票数: 162852)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 21123 | 13.0% ] 仲村由理 - Angel Beats OVA
[ 02 | 14923 |  9.2% ] 小黑 - 魔法少女伊莉雅2wei Herz
[ 03 | 13853 |  8.5% ] 朝比奈实玖瑠 - 小长门有希的消失
[ 04 | 13224 |  8.1% ] 不破冰菓 - 没有黄段子存在的无聊世界
[ 05 | 12623 |  7.8% ] 月咏 - 银魂°
[ 06 | 11509 |  7.1% ] 银仙(女版) - 银仙
[ 07 | 11487 |  7.1% ] 古手川唯 - ToLoveRu Darkness 2nd
[ 08 | 10291 |  6.3% ] 红马尾 - 我要成为双马尾
[ 09 | 09467 |  5.8% ] 月野兔 - 美少女战士Crystal
[ 10 | 07643 |  4.7% ] 夏洛特·德诺阿 - IS2 OVA 世界清洗篇
[ 11 | 05347 |  3.3% ] 冲田纱羽 - TARI TARI OVA
[ 12 | 04626 |  2.8% ] 玛利亚 - 纯洁的玛利亚
[ 13 | 04022 |  2.5% ] 提亚悠·鲁娜提克 - ToLoveRu Darkness 2nd
[ 14 | 02295 |  1.4% ] 安娜史塔西亚 - 偶像大师 灰姑娘女孩
[ 15 | 01899 |  1.2% ] 町子凉 - 幸腹涂鸦
[ 16 | 01239 |  0.8% ] 色情刊物检官 - 电器街的漫画店
[ 17 | 01235 |  0.8% ] 埃伊娜·祖尔 - 在地下城寻求邂逅是否搞错了什么
[ 18 | 01226 |  0.8% ] 黑川真鱼 - 若叶女孩
[ 19 | 01137 |  0.7% ] 网文韵子 - ALDNOAH ZERO 第二季
[ 20 | 01039 |  0.6% ] 伴藤美衣乃 - 甘城光辉游乐园
[ 21 | 00957 |  0.6% ] 小鸟游静 - 迷糊餐厅 第三季
[ 22 | 00875 |  0.5% ] 森友望未 - 旋转少女
[ 23 | 00803 |  0.5% ] 诺瓦鲁·可可酒 - DOG DAYS 第三季
[ 24 | 00718 |  0.4% ] 冥王雪奈 - 美少女战士Crystal
[ 25 | 00670 |  0.4% ] 莱托莉 - SHOW BY ROCK!!
[ 26 | 00631 |  0.4% ] 驹鸟莲华 - 世界征服谋略之星OVA
[ 27 | 00601 |  0.4% ] 蕾蓓卡·安德森 - DOG DAYS 第三季
[ 28 | 00591 |  0.4% ] 西尾里奈 - 苍穹之法芙娜EXODUS
[ 29 | 00558 |  0.3% ] 艾蕾娜·阿尔莎维娜 - 圣剑使的禁咒咏唱
[ 30 | 00538 |  0.3% ] 夏尔·戴·达尔坦尼雅 - 百花缭乱OVA
[ 31 | 00521 |  0.3% ] 藤堂尤里卡 - 偶像活动剧场版
[ 32 | 00484 |  0.3% ] 姬川友纪 - 偶像大师 灰姑娘女孩
[ 33 | 00450 |  0.3% ] 日野弓子 - 苍穹之法芙娜EXODUS
[ 34 | 00440 |  0.3% ] 来海绘里香(Cure Marine) - 光之美少女全明星 春季嘉年华
[ 35 | 00416 |  0.3% ] 优木苗 - 临时女友
[ 36 | 00382 |  0.2% ] 青木丽华(Cure Beauty) - 光之美少女全明星 春季嘉年华
[ 37 | 00336 |  0.2% ] 两备 - 闪乱神乐OVA
[ 38 | 00301 |  0.2% ] 亚莉珊德拉·阿尔莎维恩 - 魔弹之王与战姬
[ 39 | 00268 |  0.2% ] 夏目真寻 - 临时女友
[ 40 | 00255 |  0.2% ] 道明寺歌铃 - 偶像大师 灰姑娘女孩
[ 41 | 00220 |  0.1% ] 东铃 - 夜樱四重奏OAD
[ 42 | 00213 |  0.1% ] 塙佐代美 - 玉响剧场版
[ 43 | 00192 |  0.1% ] 松永凉 - 偶像大师 灰姑娘女孩
[ 44 | 00179 |  0.1% ] 龙骑士原月麦 - 如果折断她的旗OAD
[ 45 | 00173 |  0.1% ] 日野茜(Cure Sunny) - 光之美少女全明星 春季嘉年华
[ 46 | 00157 |  0.1% ] 冰川伊绪奈(Cure Fortune) - 光之美少女happinesscharge
[ 47 | 00141 |  0.1% ] 一条美沙 - 旋转少女
[ 48 | 00123 |  0.1% ] 乌列尔 - 巴哈姆特之怒
[ 49 | 00118 |  0.1% ] 经纪人 - 侦探歌剧少女福尔摩斯TD
[ 50 | 00114 |  0.1% ] 莎拉·丁斯 - CodeGeass亡国的阿基德
[ 51 | 00112 |  0.1% ] 米斯提·罗森布尔姆 - CROSSANGE 天使与龙的轮舞
[ 52 | 00107 |  0.1% ] 古畑千亚 - Venus Project Climax

2015-12-04 晋级数据 TOP100 男子组 (总票数: 161184)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 35900 | 22.3% ] 卫宫士郎 - Fate/stay night [UBW]
[ 02 | 20228 | 12.5% ] Berserker - Fate/stay night [UBW]
[ 03 | 19521 | 12.1% ] 不二周助 - 新网球王子OVA vs Genius10
[ 04 | 14377 |  8.9% ] 奥间狸吉 - 没有黄段子存在的无聊世界
[ 05 | 13188 |  8.2% ] 名濑博臣 - 境界的彼方 剧场版
[ 06 | 10555 |  6.5% ] 贝尔·克朗尼 - 在地下城寻求邂逅是否搞错了什么
[ 07 | 08479 |  5.3% ] 柳生九兵卫(♂) - 银魂°
[ 08 | 05326 |  3.3% ] 喵太 - 记录的地平线 第二季
[ 09 | 03916 |  2.4% ] 幸村精市 - 新网球王子OVA vs Genius10
[ 10 | 03577 |  2.2% ] 高桥凉介 - 头文字D 新剧场版
[ 11 | 03403 |  2.1% ] 蜘蛛侠 - 天雷争霸 复仇者联盟
[ 12 | 03391 |  2.1% ] 伊月俊 - 黑子的篮球 第三季
[ 13 | 02861 |  1.8% ] 根津让二 - 监狱学园
[ 14 | 02573 |  1.6% ] 御子柴百太郎 - Free! TV未放送
[ 15 | 02020 |  1.3% ] 黑木智贵 - 丧女 TV未放送
[ 16 | 01741 |  1.1% ] 小野田坂道 - 飙速宅男 第二季
[ 17 | 01096 |  0.7% ] 泰奥 - 黑街
[ 18 | 00981 |  0.6% ] 莱纳·布朗 - 进击的巨人剧场版
[ 19 | 00968 |  0.6% ] 寿岭二 - 歌之王子殿下 第三季
[ 20 | 00945 |  0.6% ] 路西法 - 巴哈姆特之怒
[ 21 | 00811 |  0.5% ] 东城迅 - 新妹魔王的契约者
[ 22 | 00701 |  0.4% ] 诹佐佳典 - 黑子的篮球 第三季
[ 23 | 00679 |  0.4% ] 夜鸟 - 元气少女缘结神 第二季
[ 24 | 00624 |  0.4% ] 修☆造 - SHOW BY ROCK!!
[ 25 | 00570 |  0.4% ] 橘清音 - 科学小飞侠Crowds 第二季
[ 26 | 00493 |  0.3% ] 坛太一 - 新网球王子OVA vs Genius10
[ 27 | 00344 |  0.2% ] 鹰眼 - 天雷争霸 复仇者联盟
[ 28 | 00300 |  0.2% ] 战争机器 - 天雷争霸 复仇者联盟
[ 29 | 00270 |  0.2% ] 罗兰·马尔迪诺基 - DOG DAYS 第三季
[ 30 | 00227 |  0.1% ] 若松孝辅 - 黑子的篮球 第三季
[ 31 | 00139 |  0.1% ] 修德鲁兹 - 魔神之骨
[ 32 | 00132 |  0.1% ] 紫京院响 - 美妙天堂
[ 33 | 00121 |  0.1% ] 伊佐坂难物 - 海螺小姐
[ 34 | 00106 |  0.1% ] 上杉景胜 - 战国无双
[ 35 | 00097 |  0.1% ] 根武谷永吉 - 黑子的篮球 第三季
[ 36 | 00078 |  0.0% ] 犬饲玄 - 展开骑士
[ 37 | 00055 |  0.0% ] 冈村建一 - 黑子的篮球 第三季
[ 38 | 00054 |  0.0% ] 山路狩 - 卡片战斗先导者G
[ 39 | 00052 |  0.0% ] 秋叶流 - 潮与虎
[ 40 | 00052 |  0.0% ] 剑崎庄严 - 创圣的大天使Logos
[ 41 | 00050 |  0.0% ] 奥库·马萨尔 - 白银的意志 ARGEVOLLEN
[ 42 | 00047 |  0.0% ] 运动大佐 - 团地友夫
[ 43 | 00046 |  0.0% ] 福莱斯 - 翠星的加尔刚蒂亚OVA
[ 44 | 00046 |  0.0% ] 深泽谕吉 - 网球优等生 第二季
[ 45 | 00044 |  0.0% ] 炎利家 - 战斗之魂 烈火魂

2015-12-03 晋级数据 TOP100 女子组 (总票数: 170582)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 36471 | 21.4% ] 天使(立华奏) - Angel Beats OVA
[ 02 | 25275 | 14.8% ] 夜刀神十香 - 约会大作战2 TV未放送
[ 03 | 16451 |  9.6% ] 爱丽丝菲尔 - 魔法少女伊莉雅2wei Herz
[ 04 | 14339 |  8.4% ] 电 - 舰队collection
[ 05 | 10732 |  6.3% ] 萩村铃 - 妄想学生会OVA
[ 06 | 09648 |  5.7% ] 佐仓慈 - 学园孤岛
[ 07 | 09127 |  5.4% ] 白雪 - 赤发白雪姬
[ 08 | 06666 |  3.9% ] 黑瞳 - 斩·赤红之瞳
[ 09 | 05032 |  2.9% ] 菲尔·尼尔巴连 - 游戏人生OVA
[ 10 | 03891 |  2.3% ] 田村玲子 - 寄生兽 生命的准则
[ 11 | 03520 |  2.1% ] 萌咲莓 - 那就是声优
[ 12 | 03268 |  1.9% ] 萝莉·麦丘利 - GATE奇幻自卫队
[ 13 | 02500 |  1.5% ] 偏执王亚莉基菈 - 血界战线
[ 14 | 02493 |  1.5% ] 涅墨西斯 - ToLoveRu Darkness 2nd
[ 15 | 02411 |  1.4% ] 小田切宁宁 - 山田君与七个魔女
[ 16 | 01980 |  1.2% ] 尤弥尔 - 进击的巨人剧场版
[ 17 | 01610 |  0.9% ] 二之宫雫 - 境界的彼方 剧场版
[ 18 | 01339 |  0.8% ] 古川结 - 寻找遗失的未来
[ 19 | 01282 |  0.8% ] 井口祐未 - 白箱
[ 20 | 01109 |  0.7% ] 八坂赖子 - 潜行吧奈亚子F
[ 21 | 01099 |  0.6% ] 春寺由梨亚 - 灰色的果实
[ 22 | 00984 |  0.6% ] 塞丽娜·沙尔洛克 - 七人魔法使
[ 23 | 00880 |  0.5% ] 支仓爱理 - 寻找遗失的未来
[ 24 | 00878 |  0.5% ] Paladin - 比基尼勇士
[ 25 | 00845 |  0.5% ] 青柳璃彩 - 心理测量者 第二季
[ 26 | 00698 |  0.4% ] 莉涅特·毕所普 - 强袭魔女新OVA
[ 27 | 00668 |  0.4% ] 长谷川千里 - 新妹魔王的契约者
[ 28 | 00623 |  0.4% ] 小林 - 希德尼娅的骑士 第二季
[ 29 | 00497 |  0.3% ] 神乐坂砂夜 - 临时女友
[ 30 | 00468 |  0.3% ] 相田爱(Cure Heart) - 光之美少女全明星 春季嘉年华
[ 31 | 00427 |  0.3% ] 仲野弥生 - 群居姐妹
[ 32 | 00426 |  0.2% ] 艾丽夏 - 情热传说 导师的黎明
[ 33 | 00379 |  0.2% ] Darkelf - 比基尼勇士
[ 34 | 00370 |  0.2% ] 小野田优良 - 夫妻成长日记 新OVA
[ 35 | 00342 |  0.2% ] 前田广美 - 樱桃小丸子 第二季
[ 36 | 00293 |  0.2% ] 伊丽莎白·佛米娜 - 魔弹之王与战姬
[ 37 | 00222 |  0.1% ] 英雄崎凛 - 如果折断她的旗OAD
[ 38 | 00196 |  0.1% ] 山吹祈里(Cure Pine) - 光之美少女全明星 春季嘉年华
[ 39 | 00151 |  0.1% ] 香岛夕 - Venus Project Climax
[ 40 | 00143 |  0.1% ] 夜樱 - 闪乱神乐OVA
[ 41 | 00138 |  0.1% ] 大巫女 - CROSSANGE 天使与龙的轮舞
[ 42 | 00118 |  0.1% ] 大司教河胡桃子 - 如果折断她的旗OAD
[ 43 | 00093 |  0.1% ] 别所子鹿 - 浦和小调
[ 44 | 00087 |  0.1% ] 小哞 - 干支魂
[ 45 | 00079 |  0.0% ] 橘响子 - 临时女友
[ 46 | 00066 |  0.0% ] 水无月遥 - 快盗天使双胞胎OVA
[ 47 | 00059 |  0.0% ] 雅思敏 - CROSSANGE 天使与龙的轮舞
[ 48 | 00058 |  0.0% ] 篠架纯 - 恋爱舞台OVA
[ 49 | 00058 |  0.0% ] 柩小夜 - 绝命制裁X
[ 50 | 00058 |  0.0% ] 黄木娅纪美 - 美妙天堂
[ 51 | 00035 |  0.0% ] 盖考医生 - CROSSANGE 天使与龙的轮舞

2015-12-03 晋级数据 TOP100 男子组 (总票数: 156086)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 27207 | 17.4% ] 我爱罗 - 火影忍者 疾风传
[ 02 | 17565 | 11.3% ] 神原秋人 - 境界的彼方 剧场版
[ 03 | 14130 |  9.1% ] 岸谷新罗 - 无头骑士异闻录×2 承
[ 04 | 12614 |  8.1% ] 乌索普 - 海贼王
[ 05 | 08386 |  5.4% ] 弗朗西斯·波诺弗瓦(法/国) - 黑塔利亚 第六季
[ 06 | 08364 |  5.4% ] 兵藤一诚 - 高校龙中龙D×D BorN
[ 07 | 08218 |  5.3% ] 小鸟游宗太 - 迷糊餐厅 第三季
[ 08 | 06797 |  4.4% ] 佐藤润 - 迷糊餐厅 第三季
[ 09 | 06100 |  3.9% ] 伽吉鲁·雷特福克斯 - 妖精的尾巴 第二季
[ 10 | 06062 |  3.9% ] 橘·阿历克斯 - 干物妹小埋
[ 11 | 05166 |  3.3% ] 叶月渚 - Free! TV未放送
[ 12 | 03144 |  2.0% ] 真红·和泉 - DOG DAYS 第三季
[ 13 | 03111 |  2.0% ] 天秤座童虎 - 圣斗士星矢 黄金魂
[ 14 | 02949 |  1.9% ] 克拉斯提 - 记录的地平线 第二季
[ 15 | 02625 |  1.7% ] 杰克·阿特拉斯 - 游戏王ARC-V
[ 16 | 02381 |  1.5% ] 鉴纯一郎 - 电波教师
[ 17 | 02232 |  1.4% ] 濑川祐太 - 要听爸爸的话OAD
[ 18 | 02211 |  1.4% ] 薙切仙左卫门 - 食戟之灵
[ 19 | 02106 |  1.3% ] 监督 - 电器街的漫画店
[ 20 | 01937 |  1.2% ] 马可·阿德里亚诺 - 黑街
[ 21 | 01708 |  1.1% ] 阎魔大王 - 鬼灯的冷彻OAD
[ 22 | 01621 |  1.0% ] 诺伊兹 - 戏剧性谋杀 TV未放送
[ 23 | 01212 |  0.8% ] 似鸟爱一郎 - Free! TV未放送
[ 24 | 01178 |  0.8% ] 大筒木舍人 - 火影忍者剧场版 THE LAST
[ 25 | 01098 |  0.7% ] 泽村大地 - 排球少年剧场版
[ 26 | 01038 |  0.7% ] 伯特·罗加 - 在地下城寻求邂逅是否搞错了什么
[ 27 | 00796 |  0.5% ] 缥康隆 - 可塑性记忆
[ 28 | 00777 |  0.5% ] 冬弥 - 记录的地平线 第二季
[ 29 | 00766 |  0.5% ] 柳生比吕士 - 新网球王子OVA vs Genius10
[ 30 | 00467 |  0.3% ] SPADE - 怪盗JOKER
[ 31 | 00398 |  0.3% ] 原田太志 - 游戏王ARC-V
[ 32 | 00348 |  0.2% ] 平间 - 寄生兽 生命的准则
[ 33 | 00234 |  0.1% ] 花岭奏 - 枕男子
[ 34 | 00232 |  0.1% ] 千切夜宵 - 枕男子
[ 35 | 00154 |  0.1% ] 八槙昴 - 教室危机
[ 36 | 00141 |  0.1% ] 助六 - 昭和元禄落语心中OVA
[ 37 | 00122 |  0.1% ] 沃尔特·巴吉斯特 - 苍穹之法芙娜EXODUS
[ 38 | 00104 |  0.1% ] 金丸信二 - 钻石王牌
[ 39 | 00090 |  0.1% ] 岛田结太 - 其实我是
[ 40 | 00080 |  0.1% ] 无限彼方 - 暴力宇宙海贼 亚空的深渊
[ 41 | 00061 |  0.0% ] 百黄半藏 - 战斗之魂 烈火魂
[ 42 | 00057 |  0.0% ] 长良景 - 卡片战斗先导者G
[ 43 | 00050 |  0.0% ] 靖惠田 - 敢达创战者TRY
[ 44 | 00049 |  0.0% ] 外村光辅 - 恋爱舞台OVA

2015-12-02 晋级数据 TOP100 女子组 (总票数: 159295)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 37261 | 23.4% ] 时崎狂三 - 约会大作战2 TV未放送
[ 02 | 25747 | 16.2% ] 小泉花阳 - Love Live! The School Idol Movie
[ 03 | 11026 |  6.9% ] 宫永咲 - 咲日和
[ 04 | 09633 |  6.0% ] 桃园奈奈生 - 元气少女缘结神 第二季
[ 05 | 06431 |  4.0% ] 今井绿 - 白箱
[ 06 | 06427 |  4.0% ] 尤娜 - 晨曦公主
[ 07 | 06220 |  3.9% ] 一之濑双叶 - 那就是声优
[ 08 | 05599 |  3.5% ] 三浦优美子 - 我的青春恋爱物语果然有问题 第二季
[ 09 | 05548 |  3.5% ] 萨莎·布劳斯 - 进击的巨人剧场版
[ 10 | 04528 |  2.8% ] 浅见莉莉斯 - 七人魔法使
[ 11 | 03307 |  2.1% ] 嘉依卡·布芙丹 - 棺姬嘉依卡 第二季
[ 12 | 03188 |  2.0% ] 田中 - 关于完全听不懂老公在说什么的事
[ 13 | 03020 |  1.9% ] 神原弥生 - 境界的彼方 剧场版
[ 14 | 02700 |  1.7% ] 村崎和歌子 - 和歌子酒
[ 15 | 02543 |  1.6% ] 花依小百合 - 终结的炽天使
[ 16 | 02422 |  1.5% ] 空 - 七人魔法使
[ 17 | 02274 |  1.4% ] 小林堇(小丸子的妈妈) - 樱桃小丸子 第二季
[ 18 | 02141 |  1.3% ] 吉川优子 - 吹响！上低音号
[ 19 | 01815 |  1.1% ] 望月真帆 - 大图书馆的牧羊人
[ 20 | 01484 |  0.9% ] 日向 - 苍蓝钢铁的琶音DC
[ 21 | 01441 |  0.9% ] 塞瑞娜 - 游戏王ARC-V
[ 22 | 01404 |  0.9% ] 利歌塔·埃玛 - DOG DAYS 第三季
[ 23 | 01269 |  0.8% ] 兴津由佳 - 白箱
[ 24 | 01256 |  0.8% ] 松原穗乃花 - 黄金拼图 第二季
[ 25 | 01108 |  0.7% ] 犬吠埼树 - 结城友奈是勇者
[ 26 | 01051 |  0.7% ] 音尾春菜 - 迷糊餐厅 第三季
[ 27 | 00898 |  0.6% ] 萨莉亚 - CROSSANGE 天使与龙的轮舞
[ 28 | 00839 |  0.5% ] 北原美樱 - 在盛夏等待OVA
[ 29 | 00771 |  0.5% ] 足柄 - 苍蓝钢铁的琶音DC
[ 30 | 00759 |  0.5% ] 莉塔 - 巴哈姆特之怒
[ 31 | 00665 |  0.4% ] 紫 - 闪乱神乐OVA
[ 32 | 00640 |  0.4% ] 三村加奈子 - 偶像大师 灰姑娘女孩
[ 33 | 00574 |  0.4% ] 椎名心实 - 临时女友
[ 34 | 00412 |  0.3% ] ROSE - 怪盗JOKER
[ 35 | 00407 |  0.3% ] V·茱莉·F - 夜樱四重奏OAD
[ 36 | 00373 |  0.2% ] 不见咲薰 - ALDNOAH ZERO 第二季
[ 37 | 00260 |  0.2% ] 爱乃惠(Cure Lovely) - 光之美少女happinesscharge
[ 38 | 00249 |  0.2% ] 林 - 我们大家的河合庄
[ 39 | 00222 |  0.1% ] 叶月柚子 - 临时女友
[ 40 | 00198 |  0.1% ] 目野轮冥 - 魔女的使命OAD
[ 41 | 00191 |  0.1% ] 小夏 - 昭和元禄落语心中OVA
[ 42 | 00185 |  0.1% ] 黑濑香橙 - 姐姐妄想日记OVA
[ 43 | 00169 |  0.1% ] 莱莎·佩托坚 - 强袭魔女新OVA
[ 44 | 00117 |  0.1% ] 式岛切子 - 电波教师
[ 45 | 00097 |  0.1% ] 水野由香里 - 军人少女
[ 46 | 00083 |  0.1% ] 卢卡 - 暴力宇宙海贼 亚空的深渊
[ 47 | 00082 |  0.1% ] 爱原 - 黑白小姐 第二季
[ 48 | 00074 |  0.0% ] 理菜 - 百万偶像
[ 49 | 00071 |  0.0% ] 牧野佑希 - 望实与君雄OVA
[ 50 | 00060 |  0.0% ] 坂上 - 团地友夫
[ 51 | 00056 |  0.0% ] 梅本幸子 - 钻石王牌

2015-12-02 晋级数据 TOP100 男子组 (总票数: 155955)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
