每日晋级数据 TOP100
2015-12-05 晋级数据 TOP100 女子组 (总票数: 189073)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 36167 | 19.1% ] 栗山未来 - 境界的彼方 剧场版
[ 02 | 20684 | 10.9% ] 优纪(绀野木棉季) - 刀剑神域 第二季
[ 03 | 20360 | 10.8% ] 乙坂步未 - 夏洛特
[ 04 | 16289 |  8.6% ] 冲田总悟(♀) - 银魂°
[ 05 | 14152 |  7.5% ] 市松小雏 - 银仙
[ 06 | 08506 |  4.5% ] 田村由加莉 - 那就是声优
[ 07 | 07295 |  3.9% ] 卡莲·奥尔黛西亚 - 魔法少女伊莉雅2wei Herz
[ 08 | 06490 |  3.4% ] 山中井野 - 火影忍者 疾风传
[ 09 | 06171 |  3.3% ] 亚莉莎·伊莉妮提娜·阿米耶拉 - 噬神者
[ 10 | 05784 |  3.1% ] 梅琳 - 黑执事 Book of Murder
[ 11 | 04985 |  2.6% ] 河合律 - 我们大家的河合庄
[ 12 | 04174 |  2.2% ] 山崎退(♀) - 银魂°
[ 13 | 04014 |  2.1% ] 琳丝蕾特·劳伦弗罗斯特 - 精灵使的剑舞OVA
[ 14 | 03642 |  1.9% ] 牧野神奈 - 玉子市场 剧场版
[ 15 | 03337 |  1.8% ] 片冈优希 - 咲日和
[ 16 | 03293 |  1.7% ] 帕比 - 魔物娘相伴的日常
[ 17 | 02880 |  1.5% ] 水濑伊织 - 偶像大师剧场版
[ 18 | 02355 |  1.2% ] 界冢雪 - ALDNOAH ZERO 第二季
[ 19 | 01586 |  0.8% ] 黑发女(知幸) - 死亡游行
[ 20 | 01382 |  0.7% ] 赛琉·尤比基塔斯 - 斩·赤红之瞳
[ 21 | 01339 |  0.7% ] 纱代 - 那就是声优
[ 22 | 01318 |  0.7% ] 黑蜥蜴 - 乱步奇谭 Game of Laplace
[ 23 | 01077 |  0.6% ] 星宫莓 - 偶像活动 第三季
[ 24 | 00979 |  0.5% ] 栗原雀花 - 魔法少女伊莉雅2wei Herz
[ 25 | 00811 |  0.4% ] 染谷真子 - 咲日和
[ 26 | 00755 |  0.4% ] 百合城银子 - 百合熊岚
