角色票力排行榜 女子组 (仅含已晋级)
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
072: [ 2015-11-09 | 01 | 16634 ] 雷 - 舰队collection
073: [ 2015-11-20 | 01 | 16529 ] 钉宫理惠 - 那就是声优
074: [ 2015-11-15 | 02 | 16507 ] 初濑伊纲 - 游戏人生OVA
075: [ 2015-11-19 | 01 | 16469 ] 阿良良木火怜 - 凭物语
076: [ 2015-12-03 | 03 | 16451 ] 爱丽丝菲尔 - 魔法少女伊莉雅2wei Herz
077: [ 2015-11-14 | 02 | 16388 ] 艾斯德斯 - 斩·赤红之瞳
078: [ 2015-11-01 | 02 | 16299 ] 星空凛 - Love Live! The School Idol Movie
079: [ 2015-11-27 | 02 | 16249 ] 晓 - 舰队collection
080: [ 2015-11-15 | 03 | 15755 ] 高坂丽奈 - 吹响！上低音号
081: [ 2015-11-30 | 02 | 15725 ] 比企谷小町 - 我的青春恋爱物语果然有问题 第二季
082: [ 2015-11-10 | 02 | 15418 ] 岁纳京子 - 摇曳百合OVA
083: [ 2015-11-21 | 03 | 15409 ] 冰堂美智留 - 路人女主的养成方法
084: [ 2015-11-27 | 03 | 15341 ] 雅儿贝德 - OVERLORD
085: [ 2015-11-09 | 02 | 15322 ] 史蒂芬妮·多拉 - 游戏人生OVA
086: [ 2015-11-30 | 03 | 15126 ] 三千院凪 - 旋风管家OAD
087: [ 2015-10-31 | 03 | 15061 ] 毛利兰 - 名侦探柯南
088: [ 2015-12-04 | 02 | 14923 ] 小黑 - 魔法少女伊莉雅2wei Herz
089: [ 2015-11-01 | 03 | 14734 ] 吉普莉尔 - 游戏人生OVA
090: [ 2015-11-13 | 03 | 14461 ] 高雄 - 舰队collection
091: [ 2015-11-20 | 02 | 14386 ] 名濑美月 - 境界的彼方 剧场版
092: [ 2015-11-12 | 03 | 14366 ] 雪之下阳乃 - 我的青春恋爱物语果然有问题 第二季
093: [ 2015-11-19 | 02 | 14093 ] 娜美 - 海贼王
094: [ 2015-11-06 | 03 | 14068 ] 惠飞须泽胡桃 - 学园孤岛
095: [ 2015-11-19 | 03 | 13894 ] 濑尾结月 - 月刊少女野崎君OVA
096: [ 2015-11-17 | 02 | 13887 ] 黄前久美子 - 吹响！上低音号
097: [ 2015-12-04 | 03 | 13853 ] 朝比奈实玖瑠 - 小长门有希的消失
098: [ 2015-11-14 | 03 | 13817 ] 新堂爱 - 境界的彼方 剧场版
099: [ 2015-11-17 | 03 | 13194 ] 鹿岛游 - 月刊少女野崎君OVA
100: [ 2015-11-10 | 03 | 13026 ] 春野樱 - 火影忍者 疾风传
101: [ 2015-11-16 | 03 | 12049 ] 莉兹贝特(筱崎里香) - 刀剑神域 第二季
102: [ 2015-11-29 | 03 | 12017 ] 绿川花 - 监狱学园
103: [ 2015-11-20 | 03 | 11944 ] 笛口雏实 - 东京食尸鬼 第二季
104: [ 2015-11-23 | 02 | 11694 ] 藤村大河 - Fate/stay night [UBW]
105: [ 2015-11-05 | 03 | 11367 ] 长门 - 舰队collection
106: [ 2015-11-23 | 03 | 11071 ] 鸫诚士郎 - 伪恋 第二季
107: [ 2015-12-02 | 03 | 11026 ] 宫永咲 - 咲日和
108: [ 2015-11-09 | 03 | 10439 ] 娜娜·阿丝达·戴比路克 - ToLoveRu Darkness 2nd
