复活票力排行榜 男子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
071: [ 2015-12-02 | 04 | 08916 ] 熊耳 - 夏洛特
072: [ 2015-11-01 | 04 | 08871 ] 伊武崎峻 - 食戟之灵
073: [ 2015-11-13 | 06 | 08778 ] 阳太 - 关于完全听不懂老公在说什么的事
074: [ 2015-11-09 | 06 | 08716 ] 葬仪屋 - 黑执事 Book of Murder
075: [ 2015-12-05 | 06 | 08595 ] 一濑红莲 - 终结的炽天使
076: [ 2015-11-10 | 05 | 08504 ] 藤野清志 - 监狱学园
077: [ 2015-11-19 | 06 | 08494 ] 绿间真太郎 - 黑子的篮球 第三季
078: [ 2015-11-03 | 06 | 08449 ] 桃城武 - 新网球王子OVA vs Genius10
079: [ 2015-12-03 | 05 | 08386 ] 弗朗西斯·波诺弗瓦(法/国) - 黑塔利亚 第六季
080: [ 2015-11-06 | 05 | 08372 ] 拉伯克 - 斩·赤红之瞳
081: [ 2015-12-03 | 06 | 08364 ] 兵藤一诚 - 高校龙中龙D×D BorN
082: [ 2015-12-01 | 05 | 08359 ] 魔人布欧 - 龙珠改 魔人布欧篇
083: [ 2015-11-17 | 05 | 08338 ] 扎普·伦弗洛 - 血界战线
084: [ 2015-11-06 | 06 | 08318 ] 相马博臣 - 迷糊餐厅 第三季
085: [ 2015-12-02 | 05 | 08235 ] 白泽 - 鬼灯的冷彻OAD
086: [ 2015-11-17 | 06 | 08040 ] 佐井 - 火影忍者 疾风传
087: [ 2015-11-15 | 05 | 08014 ] 冰室辰也 - 黑子的篮球 第三季
088: [ 2015-11-08 | 05 | 07979 ] 若狭 - 我家浴缸的二三事
089: [ 2015-11-11 | 05 | 07900 ] 理事长 - 监狱学园
090: [ 2015-11-11 | 06 | 07604 ] 黑羽盗一 - 魔术快斗1412
091: [ 2015-12-02 | 06 | 07571 ] 千·威斯塔利亚 - 赤发白雪姬
092: [ 2015-11-12 | 05 | 07524 ] 来留主公人 - 魔物娘相伴的日常
093: [ 2015-11-24 | 06 | 07518 ] 日向翔阳 - 排球少年剧场版
094: [ 2015-11-23 | 04 | 07408 ] 白马探 - 魔术快斗1412
095: [ 2015-11-23 | 05 | 07147 ] 越谷卓 - 悠哉日常大王 第二季
096: [ 2015-11-08 | 06 | 06794 ] 秋道丁次 - 火影忍者 疾风传
097: [ 2015-11-23 | 06 | 06683 ] 风见雄二 - 灰色的果实
098: [ 2015-11-05 | 06 | 06594 ] 堂岛银 - 食戟之灵
