复活票力排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
075: [ 2015-11-29 | 05 | 09165 ] 圣边琉璃 - 无头骑士异闻录×2 承
076: [ 2015-11-28 | 06 | 09099 ] 米拉杰·斯特劳斯 - 妖精的尾巴 第二季
077: [ 2015-11-09 | 04 | 08935 ] 提露密努斯·艾斯特 - 精灵使的剑舞OVA
078: [ 2015-11-24 | 06 | 08854 ] 安原绘麻 - 白箱
079: [ 2015-11-13 | 05 | 08762 ] 伊波樱 - 境界的彼方 剧场版
080: [ 2015-10-31 | 05 | 08715 ] 常守朱 - 心理测量者 第二季
081: [ 2015-11-09 | 05 | 08715 ] 渋谷凛 - 偶像大师 灰姑娘女孩
082: [ 2015-11-10 | 05 | 08690 ] 海老名姬菜 - 我的青春恋爱物语果然有问题 第二季
083: [ 2015-11-05 | 04 | 08607 ] 平冢静 - 我的青春恋爱物语果然有问题 第二季
084: [ 2015-11-05 | 05 | 08575 ] 柊筱娅 - 终结的炽天使
085: [ 2015-12-05 | 06 | 08506 ] 田村由加莉 - 那就是声优
086: [ 2015-11-09 | 06 | 08322 ] 原村和 - 咲日和
087: [ 2015-11-29 | 06 | 08229 ] 寺门通 - 银魂°
088: [ 2015-11-04 | 06 | 08050 ] 志村妙 - 银魂°
089: [ 2015-11-18 | 06 | 07919 ] 诺艾尔 - 天体的秩序
090: [ 2015-11-11 | 06 | 07720 ] 越谷小鞠 - 悠哉日常大王 第二季
091: [ 2015-11-05 | 06 | 07639 ] 娜贝拉尔·伽玛 - OVERLORD
092: [ 2015-11-23 | 04 | 07565 ] 村野里美 - 寄生兽 生命的准则
093: [ 2015-11-23 | 05 | 07544 ] 塔城小猫 - 高校龙中龙D×D BorN
094: [ 2015-11-10 | 06 | 07446 ] 神崎灯代 - 日常系的异能战斗
095: [ 2015-11-25 | 06 | 07384 ] 芙蕾米·斯皮德龙 - 六花的勇者
096: [ 2015-11-13 | 06 | 07298 ] 周防天音 - 灰色的果实
097: [ 2015-11-27 | 06 | 07269 ] 中森青子 - 魔术快斗1412
098: [ 2015-10-31 | 06 | 06849 ] 杉浦绫乃 - 摇曳百合OVA
099: [ 2015-12-01 | 05 | 06774 ] 那珂 - 舰队collection
100: [ 2015-12-01 | 06 | 06636 ] 贝尔摩德 - 名侦探柯南
101: [ 2015-11-16 | 05 | 06574 ] 坂木静香 - 白箱
102: [ 2015-12-02 | 05 | 06431 ] 今井绿 - 白箱
103: [ 2015-12-02 | 06 | 06427 ] 尤娜 - 晨曦公主
104: [ 2015-11-23 | 06 | 06199 ] 矢野艾莉卡 - 白箱
105: [ 2015-11-30 | 06 | 06107 ] 米歇拉·沃奇 - 血界战线
106: [ 2015-11-16 | 06 | 05561 ] 高鸭稳乃 - 天才麻将少女 阿知贺篇SP
107: [ 2015-11-01 | 05 | 05543 ] 小鸟游美羽 - 要听爸爸的话OAD
108: [ 2015-11-01 | 06 | 05007 ] 川内 - 舰队collection
