每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 03 | 17966 | 13.8% ] 大和 - 舰队collection
[ 04 | 17883 | 13.7% ] 坂田银时(♀) - 银魂°
[ 05 | 06774 |  5.2% ] 那珂 - 舰队collection
[ 06 | 06636 |  5.1% ] 贝尔摩德 - 名侦探柯南
[ 07 | 06380 |  4.9% ] 薙切爱丽丝 - 食戟之灵
[ 08 | 05825 |  4.5% ] 高雄 - 苍蓝钢铁的琶音DC

2015-12-01 晋级数据 TOP8 男子组 (总票数: 113307)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 37937 | 33.5% ] 旗木卡卡西 - 火影忍者 疾风传
[ 02 | 20137 | 17.8% ] 塞巴斯蒂安·米卡利斯 - 黑执事 Book of Murder
[ 03 | 18791 | 16.6% ] 一条乐 - 伪恋 第二季
[ 04 | 11624 | 10.3% ] 大路饼藏 - 玉子市场 剧场版
[ 05 | 08359 |  7.4% ] 魔人布欧 - 龙珠改 魔人布欧篇
[ 06 | 06058 |  5.3% ] 大石秀一郎 - 新网球王子OVA vs Genius10
[ 07 | 05596 |  4.9% ] 赤林海月 - 无头骑士异闻录×2 承
[ 08 | 04805 |  4.2% ] 撒旦先生 - 龙珠·超

2015-11-30 晋级数据 TOP8 女子组 (总票数: 90331)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 17697 | 19.6% ] 克子 - 潜行吧奈亚子F
[ 02 | 15725 | 17.4% ] 比企谷小町 - 我的青春恋爱物语果然有问题 第二季
[ 03 | 15126 | 16.7% ] 三千院凪 - 旋风管家OAD
[ 04 | 14411 | 16.0% ] 翔鹤 - 舰队collection
[ 05 | 10780 | 11.9% ] 大凤 - 舰队collection
[ 06 | 06107 |  6.8% ] 米歇拉·沃奇 - 血界战线
[ 07 | 05328 |  5.9% ] 吉野悠姬 - 食戟之灵
