每日晋级数据 TOP8
2015-12-05 晋级数据 TOP8 女子组 (总票数: 129943)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 18349 | 17.8% ] 天草筱 - 妄想学生会OVA
[ 02 | 13887 | 13.5% ] 黄前久美子 - 吹响！上低音号
[ 03 | 13194 | 12.8% ] 鹿岛游 - 月刊少女野崎君OVA
[ 04 | 13119 | 12.7% ] 小野寺春 - 伪恋 第二季
[ 05 | 12507 | 12.1% ] 拉媞珐·芙尔兰札 - 甘城光辉游乐园
[ 06 | 11436 | 11.1% ] 九条可怜 - 黄金拼图 第二季
[ 07 | 11047 | 10.7% ] 小玉 - 银魂°
[ 08 | 09617 |  9.3% ] 宫森葵 - 白箱

2015-11-17 晋级数据 TOP8 男子组 (总票数: 111292)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 38736 | 34.8% ] 坂田银时 - 银魂°
[ 02 | 19248 | 17.3% ] 龙之峰帝人 - 无头骑士异闻录×2 承
[ 03 | 11547 | 10.4% ] 小夫 - 哆啦A梦
[ 04 | 10938 |  9.8% ] 乔瑟夫·乔斯达 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 05 | 08338 |  7.5% ] 扎普·伦弗洛 - 血界战线
[ 06 | 08040 |  7.2% ] 佐井 - 火影忍者 疾风传
[ 07 | 07530 |  6.8% ] 金(哈勒昆) - 七大罪
[ 08 | 06915 |  6.2% ] 黑木场凉 - 食戟之灵

2015-11-16 晋级数据 TOP8 女子组 (总票数: 96182)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 26237 | 27.3% ] 东条希 - Love Live! The School Idol Movie
[ 02 | 24833 | 25.8% ] 莉法(桐谷直叶) - 刀剑神域 第二季
[ 03 | 12049 | 12.5% ] 莉兹贝特(筱崎里香) - 刀剑神域 第二季
[ 04 | 10304 | 10.7% ] 登势婆婆 - 银魂°
[ 05 | 06574 |  6.8% ] 坂木静香 - 白箱
[ 06 | 05561 |  5.8% ] 高鸭稳乃 - 天才麻将少女 阿知贺篇SP
[ 07 | 05388 |  5.6% ] 宫内光华 - 悠哉日常大王 第二季
[ 08 | 05236 |  5.4% ] 成濑万理亚 - 新妹魔王的契约者

2015-11-16 晋级数据 TOP8 男子组 (总票数: 106230)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 33274 | 31.3% ] 杀老师 - 暗杀教室
[ 02 | 26748 | 25.2% ] 朱利叶斯·金斯利(鲁路修) - CodeGeass亡国的阿基德
[ 03 | 15481 | 14.6% ] 纪田正臣 - 无头骑士异闻录×2 承
[ 04 | 12537 | 11.8% ] 亚尔斯兰 - 亚尔斯兰战记
[ 05 | 05398 |  5.1% ] 白羊座穆 - 圣斗士星矢 黄金魂
[ 06 | 05157 |  4.9% ] 钢铁侠 - 天雷争霸 复仇者联盟
[ 07 | 04035 |  3.8% ] 高桥美咲 - 纯情罗曼史3
[ 08 | 03600 |  3.4% ] 直继 - 记录的地平线 第二季

2015-11-15 晋级数据 TOP8 女子组 (总票数: 105905)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 21539 | 20.3% ] 金色暗影 - ToLoveRu Darkness 2nd
[ 02 | 16507 | 15.6% ] 初濑伊纲 - 游戏人生OVA
[ 03 | 15755 | 14.9% ] 高坂丽奈 - 吹响！上低音号
[ 04 | 15469 | 14.6% ] 橘万里花 - 伪恋 第二季
[ 05 | 11655 | 11.0% ] 伊莉娜·耶拉比琪 - 暗杀教室
[ 06 | 09597 |  9.1% ] 吉田步美 - 名侦探柯南
[ 07 | 08706 |  8.2% ] 北白川馅子 - 玉子市场 剧场版
[ 08 | 06677 |  6.3% ] 轰八千代 - 迷糊餐厅 第三季

2015-11-15 晋级数据 TOP8 男子组 (总票数: 106824)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 27598 | 25.8% ] 言峰绮礼 - Fate/stay night [UBW]
[ 02 | 21851 | 20.5% ] 银仙 - 银仙
[ 03 | 19899 | 18.6% ] 莱昂纳多·沃奇 - 血界战线
[ 04 | 17515 | 16.4% ] 哈斯太 - 潜行吧奈亚子F
[ 05 | 08014 |  7.5% ] 冰室辰也 - 黑子的篮球 第三季
[ 06 | 06483 |  6.1% ] 山田龙 - 山田君与七个魔女
[ 07 | 02754 |  2.6% ] 忌布基 - ChaosDragon赤龙战役
[ 08 | 02710 |  2.5% ] 阿道夫·莱因哈德 - 火星异种

2015-11-14 晋级数据 TOP8 女子组 (总票数: 120597)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 40921 | 33.9% ] 土间埋 - 干物妹小埋
[ 02 | 16388 | 13.6% ] 艾斯德斯 - 斩·赤红之瞳
[ 03 | 13817 | 11.5% ] 新堂爱 - 境界的彼方 剧场版
[ 04 | 13458 | 11.2% ] 岩泽雅美 - Angel Beats OVA
[ 05 | 12918 | 10.7% ] 桂雏菊 - 旋风管家OAD
[ 06 | 10867 |  9.0% ] 雾岛 - 舰队collection
[ 07 | 06200 |  5.1% ] 小花铃 - 那就是声优
[ 08 | 06028 |  5.0% ] 克蕾儿·露裘 - 精灵使的剑舞OVA

2015-11-14 晋级数据 TOP8 男子组 (总票数: 101131)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 18098 | 17.9% ] 小次郎 - 宠物小精灵XY
[ 02 | 15005 | 14.8% ] 津田隆利 - 妄想学生会OVA
[ 03 | 13698 | 13.5% ] 巴卫 - 元气少女缘结神 第二季
[ 04 | 12321 | 12.2% ] 阿明·阿诺德 - 进击的巨人剧场版
[ 05 | 11883 | 11.8% ] 龟仙人 - 龙珠·超
[ 06 | 11080 | 11.0% ] 李洛克 - 火影忍者 疾风传
[ 07 | 09844 |  9.7% ] 坂本辰马 - 银魂°
[ 08 | 09202 |  9.1% ] 叶山隼人 - 我的青春恋爱物语果然有问题 第二季

2015-11-13 晋级数据 TOP8 女子组 (总票数: 110830)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 28089 | 25.3% ] 绚濑绘里 - Love Live! The School Idol Movie
[ 02 | 27242 | 24.6% ] 宫园薰 - 四月是你的谎言
[ 03 | 14461 | 13.0% ] 高雄 - 舰队collection
[ 04 | 11936 | 10.8% ] 折原舞流 - 无头骑士异闻录×2 承
[ 05 | 08762 |  7.9% ] 伊波樱 - 境界的彼方 剧场版
[ 06 | 07298 |  6.6% ] 周防天音 - 灰色的果实
[ 07 | 07230 |  6.5% ] 伊400 - 苍蓝钢铁的琶音DC
[ 08 | 05812 |  5.2% ] 小鸟游荠 - 迷糊餐厅 第三季

2015-11-13 晋级数据 TOP8 男子组 (总票数: 119063)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 36395 | 30.6% ] 桐人(桐谷和人) - 刀剑神域 第二季
[ 02 | 26448 | 22.2% ] 土方十四郎 - 银魂°
[ 03 | 15838 | 13.3% ] 贝吉塔 - 龙珠改 魔人布欧篇
[ 04 | 09887 |  8.3% ] 格雷·佛尔帕斯塔 - 妖精的尾巴 第二季
[ 05 | 09391 |  7.9% ] 费里西安诺·瓦尔加斯(意/大/利) - 黑塔利亚 第六季
[ 06 | 08778 |  7.4% ] 阳太 - 关于完全听不懂老公在说什么的事
[ 07 | 06274 |  5.3% ] 阿德雷特·麦亚 - 六花的勇者
[ 08 | 06052 |  5.1% ] 达龙 - 亚尔斯兰战记

2015-11-12 晋级数据 TOP8 女子组 (总票数: 119581)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 33266 | 27.8% ] 友利奈绪 - 夏洛特
[ 02 | 19338 | 16.2% ] 猫 - K MISSING KINGS
[ 03 | 14366 | 12.0% ] 雪之下阳乃 - 我的青春恋爱物语果然有问题 第二季
[ 04 | 13953 | 11.7% ] 克鲁鲁·采佩西 - 终结的炽天使
[ 05 | 12482 | 10.4% ] 斧乃木余接 - 凭物语
[ 06 | 12221 | 10.2% ] 丈枪由纪 - 学园孤岛
[ 07 | 07587 |  6.3% ] 淡岛世理 - K MISSING KINGS
[ 08 | 06368 |  5.3% ] 园城寺怜 - 天才麻将少女 阿知贺篇SP

2015-11-12 晋级数据 TOP8 男子组 (总票数: 103260)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 26564 | 25.7% ] 户冢彩加 - 我的青春恋爱物语果然有问题 第二季
[ 02 | 26333 | 25.5% ] 御子柴实琴 - 月刊少女野崎君OVA
[ 03 | 13991 | 13.5% ] 七濑遥 - Free! TV未放送
[ 04 | 13794 | 13.4% ] 小林 - 乱步奇谭 Game of Laplace
[ 05 | 07524 |  7.3% ] 来留主公人 - 魔物娘相伴的日常
[ 06 | 05163 |  5.0% ] 杉野友人 - 暗杀教室
[ 07 | 04976 |  4.8% ] 宫村虎之介 - 山田君与七个魔女
[ 08 | 04915 |  4.8% ] 山崎宗介 - Free! TV未放送

2015-11-11 晋级数据 TOP8 女子组 (总票数: 125900)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 33417 | 26.5% ] 亚丝娜(结城明日奈) - 刀剑神域 第二季
[ 02 | 28008 | 22.2% ] 岛风 - 舰队collection
[ 03 | 19379 | 15.4% ] 诗浓(朝田诗乃) - 刀剑神域 第二季
[ 04 | 16957 | 13.5% ] Caster - Fate/stay night [UBW]
[ 05 | 09332 |  7.4% ] 爱宕 - 舰队collection
[ 06 | 07720 |  6.1% ] 越谷小鞠 - 悠哉日常大王 第二季
[ 07 | 05913 |  4.7% ] 漩涡玖辛奈 - 火影忍者 疾风传
[ 08 | 05174 |  4.1% ] 若狭悠里 - 学园孤岛

2015-11-11 晋级数据 TOP8 男子组 (总票数: 103688)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 28814 | 27.8% ] 比企谷八幡 - 我的青春恋爱物语果然有问题 第二季
[ 02 | 21930 | 21.1% ] 黑子哲也 - 黑子的篮球 第三季
[ 03 | 12978 | 12.5% ] 尼古拉斯·布朗 - 黑街
[ 04 | 10942 | 10.6% ] 柳洞一成 - Fate/stay night [UBW]
[ 05 | 07900 |  7.6% ] 理事长 - 监狱学园
[ 06 | 07604 |  7.3% ] 黑羽盗一 - 魔术快斗1412
[ 07 | 07309 |  7.0% ] 拉克萨斯·朵勒阿 - 妖精的尾巴 第二季
[ 08 | 06211 |  6.0% ] 狮子座艾奥里亚 - 圣斗士星矢 黄金魂

2015-11-10 晋级数据 TOP8 女子组 (总票数: 92928)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 25818 | 27.8% ] 安娜·锦之宫 - 没有黄段子存在的无聊世界
[ 02 | 15418 | 16.6% ] 岁纳京子 - 摇曳百合OVA
[ 03 | 13026 | 14.0% ] 春野樱 - 火影忍者 疾风传
[ 04 | 10619 | 11.4% ] 律 - 暗杀教室
[ 05 | 08690 |  9.4% ] 海老名姬菜 - 我的青春恋爱物语果然有问题 第二季
[ 06 | 07446 |  8.0% ] 神崎灯代 - 日常系的异能战斗
[ 07 | 06199 |  6.7% ] 姬岛朱乃 - 高校龙中龙D×D BorN
[ 08 | 05712 |  6.1% ] 小路绫 - 黄金拼图 第二季

2015-11-10 晋级数据 TOP8 男子组 (总票数: 109028)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 33454 | 30.7% ] Lancer - Fate/stay night [UBW]
[ 02 | 23731 | 21.8% ] 折原临也 - 无头骑士异闻录×2 承
[ 03 | 19837 | 18.2% ] 空条承太郎 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 04 | 10279 |  9.4% ] 本场猛(崩巴) - 干物妹小埋
[ 05 | 08504 |  7.8% ] 藤野清志 - 监狱学园
[ 06 | 06031 |  5.5% ] 药师兜 - 火影忍者 疾风传
[ 07 | 03683 |  3.4% ] 比鲁斯 - 龙珠·超
[ 08 | 03509 |  3.2% ] 扎克 - 可塑性记忆

2015-11-09 晋级数据 TOP8 女子组 (总票数: 83028)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 16634 | 20.0% ] 雷 - 舰队collection
[ 02 | 15322 | 18.5% ] 史蒂芬妮·多拉 - 游戏人生OVA
[ 03 | 10439 | 12.6% ] 娜娜·阿丝达·戴比路克 - ToLoveRu Darkness 2nd
[ 04 | 08935 | 10.8% ] 提露密努斯·艾斯特 - 精灵使的剑舞OVA
[ 05 | 08715 | 10.5% ] 渋谷凛 - 偶像大师 灰姑娘女孩
[ 06 | 08322 | 10.0% ] 原村和 - 咲日和
[ 07 | 07824 |  9.4% ] 三叶睦美 - 妄想学生会OVA
[ 08 | 06837 |  8.2% ] 榊凉子 - 食戟之灵

2015-11-09 晋级数据 TOP8 男子组 (总票数: 78644)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 17444 | 22.2% ] 大蛇丸 - 火影忍者 疾风传
[ 02 | 12078 | 15.4% ] 布鲁克 - 海贼王
[ 03 | 09640 | 12.3% ] 御芍神紫 - K MISSING KINGS
[ 04 | 09346 | 11.9% ] 诸葛岳人 - 监狱学园
[ 05 | 09005 | 11.5% ] 狗神 - 银仙
[ 06 | 08716 | 11.1% ] 葬仪屋 - 黑执事 Book of Murder
[ 07 | 06783 |  8.6% ] 威尔 - 斩·赤红之瞳
[ 08 | 05632 |  7.2% ] 相座武士 - 四月是你的谎言

2015-11-08 晋级数据 TOP8 女子组 (总票数: 146066)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 32728 | 22.4% ] 奈亚子 - 潜行吧奈亚子F
[ 02 | 26726 | 18.3% ] 加藤惠 - 路人女主的养成方法
[ 03 | 23730 | 16.2% ] 忍野忍 - 凭物语
[ 04 | 19994 | 13.7% ] 赤城 - 舰队collection
[ 05 | 13578 |  9.3% ] 妮可·罗宾 - 海贼王
[ 06 | 10997 |  7.5% ] 玛丽·马克贝斯 - 血界战线
[ 07 | 10863 |  7.4% ] 黑羽美砂 - 夏洛特
[ 08 | 07450 |  5.1% ] 小鸟游雏 - 要听爸爸的话OAD

2015-11-08 晋级数据 TOP8 男子组 (总票数: 104646)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 29546 | 28.2% ] 毛利小五郎 - 名侦探柯南
[ 02 | 25095 | 24.0% ] 周防尊 - K MISSING KINGS
[ 03 | 12256 | 11.7% ] 千手柱间 - 火影忍者 疾风传
[ 04 | 10491 | 10.0% ] 渡亮太 - 四月是你的谎言
[ 05 | 07979 |  7.6% ] 若狭 - 我家浴缸的二三事
[ 06 | 06794 |  6.5% ] 秋道丁次 - 火影忍者 疾风传
[ 07 | 06299 |  6.0% ] 九重透流 - 绝对双刃
[ 08 | 06186 |  5.9% ] 泰格勒威尔穆德·沃鲁恩 - 魔弹之王与战姬

2015-11-07 晋级数据 TOP8 女子组 (总票数: 182474)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 34877 | 19.1% ] 三笠·阿克曼 - 进击的巨人剧场版
[ 02 | 28392 | 15.6% ] 霞之丘诗羽 - 路人女主的养成方法
[ 03 | 25217 | 13.8% ] 响 - 舰队collection
[ 04 | 24370 | 13.4% ] 椎名真由理 - 命运石之门 聪明睿智的认知计算
[ 05 | 20770 | 11.4% ] 叶 - 干物妹小埋
[ 06 | 18176 | 10.0% ] 薙切绘里奈 - 食戟之灵
[ 07 | 15907 |  8.7% ] 西莉卡(绫野珪子) - 刀剑神域 第二季
[ 08 | 14765 |  8.1% ] 露西·哈特菲利亚 - 妖精的尾巴 第二季

2015-11-07 晋级数据 TOP8 男子组 (总票数: 152739)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 37523 | 24.6% ] 阿良良木历 - 凭物语
[ 02 | 35268 | 23.1% ] 泉新一 - 寄生兽 生命的准则
[ 03 | 16082 | 10.5% ] 克林 - 龙珠改 魔人布欧篇
[ 04 | 14552 |  9.5% ] 若松博隆 - 月刊少女野崎君OVA
[ 05 | 13877 |  9.1% ] 影男 - 乱步奇谭 Game of Laplace
[ 06 | 12512 |  8.2% ] 犬冢牙 - 火影忍者 疾风传
[ 07 | 11609 |  7.6% ] 东城刃更 - 新妹魔王的契约者
[ 08 | 11316 |  7.4% ] 花轮和彦 - 樱桃小丸子 第二季

2015-11-06 晋级数据 TOP8 女子组 (总票数: 124017)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 31098 | 25.1% ] 南小鸟 - Love Live! The School Idol Movie
[ 02 | 20324 | 16.4% ] 泽村·斯潘塞·英梨梨 - 路人女主的养成方法
[ 03 | 14068 | 11.3% ] 惠飞须泽胡桃 - 学园孤岛
[ 04 | 13218 | 10.7% ] 黑羽柚咲 - 夏洛特
[ 05 | 11806 |  9.5% ] 夏提雅·布拉德弗伦 - OVERLORD
[ 06 | 11339 |  9.1% ] 纲手 - 火影忍者 疾风传
[ 07 | 11189 |  9.0% ] 晓 - 记录的地平线 第二季
[ 08 | 10975 |  8.8% ] 切尔茜 - 斩·赤红之瞳

2015-11-06 晋级数据 TOP8 男子组 (总票数: 105549)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 34166 | 32.4% ] 江户川柯南(工藤新一) - 名侦探柯南
[ 02 | 15366 | 14.6% ] 克劳斯·V·莱因赫兹 - 血界战线
[ 03 | 13735 | 13.0% ] 宇智波带土 - 火影忍者 疾风传
[ 04 | 10800 | 10.2% ] 山崎退 - 银魂°
[ 05 | 08372 |  7.9% ] 拉伯克 - 斩·赤红之瞳
[ 06 | 08318 |  7.9% ] 相马博臣 - 迷糊餐厅 第三季
[ 07 | 07631 |  7.2% ] 塞巴斯·蒂安 - OVERLORD
[ 08 | 07161 |  6.8% ] 游马崎沃克 - 无头骑士异闻录×2 承

2015-11-05 晋级数据 TOP8 女子组 (总票数: 94693)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 24401 | 25.8% ] 牧濑红莉栖 - 命运石之门 聪明睿智的认知计算
[ 02 | 21759 | 23.0% ] 金刚 - 舰队collection
[ 03 | 11367 | 12.0% ] 长门 - 舰队collection
[ 04 | 08607 |  9.1% ] 平冢静 - 我的青春恋爱物语果然有问题 第二季
[ 05 | 08575 |  9.1% ] 柊筱娅 - 终结的炽天使
[ 06 | 07639 |  8.1% ] 娜贝拉尔·伽玛 - OVERLORD
[ 07 | 06389 |  6.7% ] 天江衣 - 咲日和
[ 08 | 05956 |  6.3% ] 大室樱子 - 摇曳百合OVA

2015-11-05 晋级数据 TOP8 男子组 (总票数: 87828)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 23723 | 27.0% ] 孙悟空 - 龙珠改 魔人布欧篇
[ 02 | 14582 | 16.6% ] 神谷浩史 - 那就是声优
[ 03 | 10528 | 12.0% ] 百夜优一郎 - 终结的炽天使
[ 04 | 10227 | 11.6% ] 弗兰奇 - 海贼王
[ 05 | 10136 | 11.5% ] 菊丸英二 - 新网球王子OVA vs Genius10
[ 06 | 06594 |  7.5% ] 堂岛银 - 食戟之灵
[ 07 | 06575 |  7.5% ] 索玛·希克扎尔 - 噬神者
[ 08 | 05463 |  6.2% ] 春日新 - 七人魔法使

2015-11-04 晋级数据 TOP8 女子组 (总票数: 127677)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 36467 | 28.6% ] 远坂凛 - Fate/stay night [UBW]
[ 02 | 28067 | 22.0% ] 伊莉雅斯菲尔 - Fate/stay night [UBW]
[ 03 | 18471 | 14.5% ] 战场原黑仪 - 凭物语
[ 04 | 13377 | 10.5% ] 艾拉 - 可塑性记忆
[ 05 | 10601 |  8.3% ] 橘·希尔芬福特 - 干物妹小埋
[ 06 | 08050 |  6.3% ] 志村妙 - 银魂°
[ 07 | 06658 |  5.2% ] 鹭之宫伊澄 - 旋风管家OAD
[ 08 | 05986 |  4.7% ] 克拉米·杰尔 - 游戏人生OVA

2015-11-04 晋级数据 TOP8 男子组 (总票数: 106530)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 24286 | 22.8% ] 冈部伦太郎 - 命运石之门 聪明睿智的认知计算
[ 02 | 15350 | 14.4% ] 安艺伦也 - 路人女主的养成方法
[ 03 | 14862 | 14.0% ] 可儿江西也 - 甘城光辉游乐园
[ 04 | 14410 | 13.5% ] 银古 - 虫师 续章
[ 05 | 14113 | 13.2% ] 绫崎飒 - 旋风管家OAD
[ 06 | 09078 |  8.5% ] 简·皮耶尔·波鲁纳雷夫 - JOJO的奇妙冒险 星尘斗士 埃及篇
[ 07 | 07674 |  7.2% ] 特托拉 - 记录的地平线 第二季
[ 08 | 06757 |  6.3% ] 龙 - 赤发白雪姬

2015-11-03 晋级数据 TOP8 女子组 (总票数: 120203)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 28888 | 24.0% ] 五河琴里 - 约会大作战2 TV未放送
[ 02 | 22926 | 19.1% ] 华城绫女 - 没有黄段子存在的无聊世界
[ 03 | 17000 | 14.1% ] Rider - Fate/stay night [UBW]
[ 04 | 12995 | 10.8% ] 北上 - 舰队collection
[ 05 | 12185 | 10.1% ] 菈菈·萨塔琳·戴比路克 - ToLoveRu Darkness 2nd
[ 06 | 11445 |  9.5% ] 菲特·泰斯特罗莎·哈拉温 - 魔法少女奈叶ViVid
[ 07 | 10650 |  8.9% ] 比睿 - 舰队collection
[ 08 | 04114 |  3.4% ] 金刚 - 苍蓝钢铁的琶音DC

2015-11-03 晋级数据 TOP8 男子组 (总票数: 93844)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 15879 | 16.9% ] 斯雷因·特洛耶特 - ALDNOAH ZERO 第二季
[ 02 | 15744 | 16.8% ] 猿飞日斩 - 火影忍者 疾风传
[ 03 | 14879 | 15.9% ] 鬼灯 - 鬼灯的冷彻OAD
[ 04 | 13497 | 14.4% ] 间桐慎二 - Fate/stay night [UBW]
[ 05 | 10026 | 10.7% ] 大雄的爸爸 - 哆啦A梦
[ 06 | 08449 |  9.0% ] 桃城武 - 新网球王子OVA vs Genius10
[ 07 | 07745 |  8.3% ] 黛千寻 - 黑子的篮球 第三季
[ 08 | 07625 |  8.1% ] 越前龙雅 - 新网球王子OVA vs Genius10

2015-11-02 晋级数据 TOP8 女子组 (总票数: 150679)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 31185 | 20.7% ] 凉宫春日 - 小长门有希的消失
[ 02 | 28737 | 19.1% ] 间桐樱 - Fate/stay night [UBW]
[ 03 | 23270 | 15.4% ] 园田海未 - Love Live! The School Idol Movie
[ 04 | 22910 | 15.2% ] 本场切绘 - 干物妹小埋
[ 05 | 16034 | 10.6% ] 艾露莎·舒卡勒托 - 妖精的尾巴 第二季
[ 06 | 11656 |  7.7% ] 一条萤 - 悠哉日常大王 第二季
[ 07 | 08649 |  5.7% ] 茅野枫 - 暗杀教室
[ 08 | 08238 |  5.5% ] 小鸟游空 - 要听爸爸的话OAD

2015-11-02 晋级数据 TOP8 男子组 (总票数: 153053)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 31377 | 20.5% ] 蒙奇·D·路飞 - 海贼王
[ 02 | 31144 | 20.3% ] 宇智波鼬 - 火影忍者 疾风传
[ 03 | 27879 | 18.2% ] 漩涡鸣人 - 火影忍者 疾风传
[ 04 | 17830 | 11.6% ] 夜刀神狗朗 - K MISSING KINGS
[ 05 | 16959 | 11.1% ] 波风水门 - 火影忍者 疾风传
[ 06 | 11449 |  7.5% ] 乌间惟臣 - 暗杀教室
[ 07 | 09059 |  5.9% ] 比克 - 龙珠改 魔人布欧篇
[ 08 | 07356 |  4.8% ] 火神大我 - 黑子的篮球 第三季

2015-11-01 晋级数据 TOP8 女子组 (总票数: 85253)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 22583 | 26.5% ] 伊莉雅斯菲尔·冯·爱因兹贝伦 - 魔法少女伊莉雅2wei Herz
[ 02 | 16299 | 19.1% ] 星空凛 - Love Live! The School Idol Movie
[ 03 | 14734 | 17.3% ] 吉普莉尔 - 游戏人生OVA
[ 04 | 12477 | 14.6% ] 赤瞳 - 斩·赤红之瞳
[ 05 | 05543 |  6.5% ] 小鸟游美羽 - 要听爸爸的话OAD
[ 06 | 05007 |  5.9% ] 川内 - 舰队collection
[ 07 | 04718 |  5.5% ] 狗神(女版) - 银仙
[ 08 | 03892 |  4.6% ] 风见一姬 - 灰色的果实

2015-11-01 晋级数据 TOP8 男子组 (总票数: 79355)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 24593 | 31.0% ] 土间太平 - 干物妹小埋
[ 02 | 15483 | 19.5% ] 宗像礼司 - K MISSING KINGS
[ 03 | 11518 | 14.5% ] 草薙出云 - K MISSING KINGS
[ 04 | 08871 | 11.2% ] 伊武崎峻 - 食戟之灵
[ 05 | 05415 |  6.8% ] 路德维希·贝什米特 - 黑塔利亚 第六季
[ 06 | 05382 |  6.8% ] 早乙女与一 - 终结的炽天使
[ 07 | 04884 |  6.2% ] 轰力雷树 - 没有黄段子存在的无聊世界
[ 08 | 03209 |  4.0% ] 菅原孝支 - 排球少年剧场版

2015-10-31 晋级数据 TOP8 女子组 (总票数: 103261)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 29414 | 28.5% ] 夕立 - 舰队collection
[ 02 | 22442 | 21.7% ] 雪之下雪乃 - 我的青春恋爱物语果然有问题 第二季
[ 03 | 15061 | 14.6% ] 毛利兰 - 名侦探柯南
[ 04 | 09186 |  8.9% ] 姬木千冬 - 日常系的异能战斗
[ 05 | 08715 |  8.4% ] 常守朱 - 心理测量者 第二季
[ 06 | 06849 |  6.6% ] 杉浦绫乃 - 摇曳百合OVA
[ 07 | 06042 |  5.9% ] 伊402 - 苍蓝钢铁的琶音DC
[ 08 | 05552 |  5.4% ] 立花萤 - 青春×机关枪

2015-10-31 晋级数据 TOP8 男子组 (总票数: 104349)
[ 小组名次 | 票数 | 得票率 ] 人物名称 - 作品名称
[ 01 | 25035 | 24.0% ] 利威尔·阿克曼 - 进击的巨人剧场版
[ 02 | 22741 | 21.8% ] Assassin - Fate/stay night [UBW]
[ 03 | 14777 | 14.2% ] 高杉晋助 - 银魂°
[ 04 | 09725 |  9.3% ] 班 - 七大罪
[ 05 | 09253 |  8.9% ] 界冢伊奈帆 - ALDNOAH ZERO 第二季
[ 06 | 09064 |  8.7% ] 结城梨斗 - ToLoveRu Darkness 2nd
[ 07 | 07315 |  7.0% ] 叶山亮 - 食戟之灵
[ 08 | 06439 |  6.2% ] 水柿司 - 可塑性记忆

