惨遭淘汰排行榜 女子组
序号: [ 日期 | 小组名次 | 票数 ] 人物名称 - 作品名称
072: [ 2015-11-06 | 10 | 06048 ] 伊波真昼 - 迷糊餐厅 第三季
073: [ 2015-10-31 | 07 | 06042 ] 伊402 - 苍蓝钢铁的琶音DC
074: [ 2015-11-14 | 08 | 06028 ] 克蕾儿·露裘 - 精灵使的剑舞OVA
075: [ 2015-11-04 | 08 | 05986 ] 克拉米·杰尔 - 游戏人生OVA
076: [ 2015-11-05 | 08 | 05956 ] 大室樱子 - 摇曳百合OVA
077: [ 2015-11-11 | 07 | 05913 ] 漩涡玖辛奈 - 火影忍者 疾风传
078: [ 2015-11-25 | 08 | 05875 ] 朝仓凉子 - 小长门有希的消失
079: [ 2015-11-18 | 08 | 05867 ] 美缀绫子 - Fate/stay night [UBW]
080: [ 2015-11-20 | 12 | 05865 ] 雅典娜 - 圣斗士星矢 黄金魂
081: [ 2015-12-01 | 08 | 05825 ] 高雄 - 苍蓝钢铁的琶音DC
082: [ 2015-11-29 | 09 | 05822 ] 黄前麻美子 - 吹响！上低音号
083: [ 2015-11-13 | 08 | 05812 ] 小鸟游荠 - 迷糊餐厅 第三季
084: [ 2015-12-05 | 10 | 05784 ] 梅琳 - 黑执事 Book of Murder
085: [ 2015-12-01 | 09 | 05743 ] 折原九瑠璃 - 无头骑士异闻录×2 承
086: [ 2015-11-27 | 09 | 05723 ] 黑咲芽亚 - ToLoveRu Darkness 2nd
087: [ 2015-11-10 | 08 | 05712 ] 小路绫 - 黄金拼图 第二季
088: [ 2015-11-13 | 09 | 05696 ] 竹井久 - 咲日和
089: [ 2015-11-24 | 10 | 05633 ] 宫本琉璃 - 伪恋 第二季
090: [ 2015-12-02 | 08 | 05599 ] 三浦优美子 - 我的青春恋爱物语果然有问题 第二季
091: [ 2015-11-05 | 09 | 05561 ] 睦月 - 舰队collection
092: [ 2015-10-31 | 08 | 05552 ] 立花萤 - 青春×机关枪
093: [ 2015-12-02 | 09 | 05548 ] 萨莎·布劳斯 - 进击的巨人剧场版
094: [ 2015-11-02 | 09 | 05544 ] 新仓绫音 - 老婆是学生会长
095: [ 2015-11-09 | 09 | 05469 ] 蕾妮希雅·柯文 - 记录的地平线 第二季
